run	repo	commit_sha	type	requirement_quality	sdd_completeness	app_runnability	docker_consistency	smoke_pass_rate	evidence_chain	total_score
baseline-1	https://github.com/YunaiV/ruoyi-vue-pro.git	7381b15454375682d412c9a5311f684439024bbe	baseline	20	20	15	15	5	5	80
sample-1	https://github.com/1024-lab/smart-admin	2dbf3c2	sample	—	—	—	—	—	—	Sa-Token认证/@SaCheckPermission/方法级路由/t_表前缀
sample-2	https://github.com/elunez/eladmin-mp	710fab6	sample	—	—	—	—	—	—	@el.check自定义权限/rest包名/XML映射/ResponseEntity
sample-3	https://github.com/ems-admin/ems-admin-vue3	a7b0860	sample	—	—	—	—	—	—	单模块/Java25/SysXxxController/无Swagger
sample-4	https://github.com/makunet/maku-boot	4cdb202	sample	—	—	—	—	—	—	SB4.0/可插拔模块/Flowable/多租户
round-2	https://github.com/YunaiV/ruoyi-vue-pro.git	7381b15454375682d412c9a5311f684439024bbe	experiment	12	12	3	8	0	5	40
round-3	https://github.com/YunaiV/ruoyi-vue-pro.git	7381b15454375682d412c9a5311f684439024bbe	experiment	12	14	3	8	0	5	42
round-4	https://github.com/YunaiV/ruoyi-vue-pro.git	7381b15454375682d412c9a5311f684439024bbe	experiment	12	15	3	8	0	5	43
round-12	https://github.com/YunaiV/ruoyi-vue-pro.git	7381b15454375682d412c9a5311f684439024bbe	experiment	8	15	20	10	30	5	88
